,number,value,datetime_start,datetime_complete,duration,params_n_features,params_patch_size,params_step_size,state
76,76,0.7411823778020861,2023-01-08 19:15:47.487850,2023-01-08 19:17:53.053304,0 days 00:02:05.565454,164,3,53,COMPLETE
77,77,0.7411823778020861,2023-01-08 19:15:52.920114,2023-01-08 19:17:59.075226,0 days 00:02:06.155112,157,3,47,COMPLETE
78,78,0.7411823778020861,2023-01-08 19:15:58.281844,2023-01-08 19:18:07.303351,0 days 00:02:09.021507,242,3,65,COMPLETE
79,79,0.7411823778020861,2023-01-08 19:16:09.584791,2023-01-08 19:18:14.815157,0 days 00:02:05.230366,146,3,65,COMPLETE
80,80,0.7411823778020861,2023-01-08 19:16:44.176004,2023-01-08 19:18:58.691168,0 days 00:02:14.515164,241,3,65,COMPLETE
81,81,0.7411823778020861,2023-01-08 19:16:49.388746,2023-01-08 19:18:53.453377,0 days 00:02:04.064631,249,3,65,COMPLETE
82,82,0.7411823778020861,2023-01-08 19:17:03.910161,2023-01-08 19:19:13.601956,0 days 00:02:09.691795,241,3,65,COMPLETE
83,83,0.7411823778020861,2023-01-08 19:17:48.256104,2023-01-08 19:20:02.832076,0 days 00:02:14.575972,240,3,52,COMPLETE
84,84,0.7411823778020861,2023-01-08 19:17:53.386093,2023-01-08 19:20:08.002687,0 days 00:02:14.616594,184,3,51,COMPLETE
85,85,0.7411823778020861,2023-01-08 19:17:59.166505,2023-01-08 19:19:54.739172,0 days 00:01:55.572667,185,3,52,COMPLETE
86,86,0.7411823778020861,2023-01-08 19:18:07.409567,2023-01-08 19:20:21.871955,0 days 00:02:14.462388,115,3,51,COMPLETE
87,87,0.7411823778020861,2023-01-08 19:18:14.902698,2023-01-08 19:20:14.449940,0 days 00:01:59.547242,111,3,57,COMPLETE
88,88,0.7411823778020861,2023-01-08 19:18:53.585150,2023-01-08 19:21:13.246452,0 days 00:02:19.661302,179,3,48,COMPLETE
89,89,0.7411823778020861,2023-01-08 19:18:58.799025,2023-01-08 19:21:07.912360,0 days 00:02:09.113335,208,3,48,COMPLETE
90,90,0.7411823778020861,2023-01-08 19:19:13.700905,2023-01-08 19:21:22.031549,0 days 00:02:08.330644,214,3,48,COMPLETE
91,91,0.7411823778020861,2023-01-08 19:19:54.832911,2023-01-08 19:21:59.227017,0 days 00:02:04.394106,218,3,48,COMPLETE
92,92,0.7411823778020861,2023-01-08 19:20:02.969443,2023-01-08 19:22:06.311506,0 days 00:02:03.342063,212,3,48,COMPLETE
93,93,0.7411823778020861,2023-01-08 19:20:08.094441,2023-01-08 19:22:16.480443,0 days 00:02:08.386002,214,3,48,COMPLETE
94,94,0.7368179975354875,2023-01-08 19:20:14.548527,2023-01-08 19:21:02.962267,0 days 00:00:48.413740,215,1,48,COMPLETE
95,95,0.7411823778020861,2023-01-08 19:20:21.992602,2023-01-08 19:22:27.851858,0 days 00:02:05.859256,217,3,48,COMPLETE
96,96,0.7411823778020861,2023-01-08 19:21:03.307209,2023-01-08 19:22:53.571058,0 days 00:01:50.263849,166,3,55,COMPLETE
97,97,0.7411823778020861,2023-01-08 19:21:08.048564,2023-01-08 19:22:49.488630,0 days 00:01:41.440066,227,3,55,COMPLETE
98,98,0.7411823778020861,2023-01-08 19:21:13.339491,2023-01-08 19:22:57.616545,0 days 00:01:44.277054,226,3,54,COMPLETE
99,99,0.7411823778020861,2023-01-08 19:21:22.145986,2023-01-08 19:23:01.531244,0 days 00:01:39.385258,224,3,59,COMPLETE
