,number,value,datetime_start,datetime_complete,duration,params_n_features,state
76,76,0.5531144586188774,2022-12-29 22:44:26.334555,2022-12-29 22:45:26.622833,0 days 00:01:00.288278,456,COMPLETE
77,77,0.5590204011304284,2022-12-29 22:44:34.033136,2022-12-29 22:45:34.209149,0 days 00:01:00.176013,461,COMPLETE
78,78,0.5612873423800393,2022-12-29 22:44:41.671610,2022-12-29 22:45:44.102935,0 days 00:01:02.431325,666,COMPLETE
79,79,0.556242985213735,2022-12-29 22:44:50.311353,2022-12-29 22:45:53.200190,0 days 00:01:02.888837,672,COMPLETE
80,80,0.5585535482281864,2022-12-29 22:44:59.863390,2022-12-29 22:46:01.299773,0 days 00:01:01.436383,665,COMPLETE
81,81,0.554475687544436,2022-12-29 22:45:08.915652,2022-12-29 22:46:15.683726,0 days 00:01:06.768074,660,COMPLETE
82,82,0.5492435540821875,2022-12-29 22:45:11.635824,2022-12-29 22:46:07.628422,0 days 00:00:55.992598,454,COMPLETE
83,83,0.5689995799657876,2022-12-29 22:45:14.506003,2022-12-29 22:46:23.674722,0 days 00:01:09.168719,667,COMPLETE
84,84,0.570228558253932,2022-12-29 22:45:26.632957,2022-12-29 22:46:31.261008,0 days 00:01:04.628051,664,COMPLETE
85,85,0.5540377588160326,2022-12-29 22:45:34.210441,2022-12-29 22:46:40.429337,0 days 00:01:06.218896,927,COMPLETE
86,86,0.5689995799657876,2022-12-29 22:45:44.105706,2022-12-29 22:46:49.304107,0 days 00:01:05.198401,667,COMPLETE
87,87,0.5586324311943394,2022-12-29 22:45:53.202128,2022-12-29 22:46:58.987273,0 days 00:01:05.785145,952,COMPLETE
88,88,0.5610403885734806,2022-12-29 22:46:01.301455,2022-12-29 22:47:06.666433,0 days 00:01:05.364978,729,COMPLETE
89,89,0.5639794439633024,2022-12-29 22:46:07.637171,2022-12-29 22:47:14.830096,0 days 00:01:07.192925,808,COMPLETE
90,90,0.5585921085367547,2022-12-29 22:46:15.745760,2022-12-29 22:47:21.645301,0 days 00:01:05.899541,536,COMPLETE
91,91,0.5524522876685596,2022-12-29 22:46:23.698378,2022-12-29 22:47:29.544286,0 days 00:01:05.845908,731,COMPLETE
92,92,0.5625256498796801,2022-12-29 22:46:31.262232,2022-12-29 22:47:37.765552,0 days 00:01:06.503320,724,COMPLETE
93,93,0.5531989569935399,2022-12-29 22:46:40.431995,2022-12-29 22:47:44.661369,0 days 00:01:04.229374,542,COMPLETE
94,94,0.5544538861548991,2022-12-29 22:46:49.306363,2022-12-29 22:47:52.853341,0 days 00:01:03.546978,727,COMPLETE
95,95,0.5627625672825951,2022-12-29 22:46:59.000286,2022-12-29 22:48:00.838106,0 days 00:01:01.837820,602,COMPLETE
96,96,0.5555035935711141,2022-12-29 22:47:06.667991,2022-12-29 22:48:07.999083,0 days 00:01:01.331092,805,COMPLETE
97,97,0.5569649352265348,2022-12-29 22:47:14.842107,2022-12-29 22:48:14.482094,0 days 00:00:59.639987,893,COMPLETE
98,98,0.5594844704692757,2022-12-29 22:47:21.647848,2022-12-29 22:48:19.607772,0 days 00:00:57.959924,599,COMPLETE
99,99,0.5676850724577684,2022-12-29 22:47:29.546347,2022-12-29 22:48:24.455844,0 days 00:00:54.909497,603,COMPLETE
