,number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_kernel,params_probability,state
62,62,0.8422695812685259,2023-01-15 19:35:15.763128,2023-01-15 19:37:48.880771,0 days 00:02:33.117643,4.715782424071401,0.001021611162241391,RBF,True,COMPLETE
63,63,0.1285329254079254,2023-01-15 19:35:34.922916,2023-01-15 19:38:07.727180,0 days 00:02:32.804264,8.219498745742701,0.3754425009464477,RBF,True,COMPLETE
64,64,0.8523588057238534,2023-01-15 19:35:53.901784,2023-01-15 19:38:26.845800,0 days 00:02:32.944016,3.3960263649390527,0.023560449672673477,RBF,True,COMPLETE
65,65,0.8457439221986881,2023-01-15 19:36:13.391059,2023-01-15 19:38:46.113506,0 days 00:02:32.722447,8.639754614773459,0.001266719372954559,RBF,True,COMPLETE
66,66,0.851801146685867,2023-01-15 19:36:33.268534,2023-01-15 19:39:04.499291,0 days 00:02:31.230757,12.010154409558714,0.0012339561151357636,RBF,True,COMPLETE
67,67,0.8563954635625166,2023-01-15 19:36:51.528336,2023-01-15 19:39:24.385703,0 days 00:02:32.857367,3.176836202863743,0.020774457908215135,RBF,True,COMPLETE
68,68,0.849893766555148,2023-01-15 19:37:10.769272,2023-01-15 19:39:41.980145,0 days 00:02:31.210873,2.915861633913497,0.0026331242878177906,RBF,True,COMPLETE
69,69,0.8521801483633678,2023-01-15 19:37:29.929103,2023-01-15 19:40:01.483001,0 days 00:02:31.553898,3.371198123718346,0.0236626922951395,RBF,True,COMPLETE
70,70,0.8571721193259603,2023-01-15 19:37:49.274753,2023-01-15 19:40:20.132594,0 days 00:02:30.857841,3.1985757325369493,0.017473452673808343,RBF,True,COMPLETE
71,71,0.8545494354963799,2023-01-15 19:38:08.104185,2023-01-15 19:40:39.620383,0 days 00:02:31.516198,2.646797482224814,0.021560981310812022,RBF,True,COMPLETE
72,72,0.8506369907118841,2023-01-15 19:38:27.038819,2023-01-15 19:40:58.257783,0 days 00:02:31.218964,3.0603153213059686,0.0026734220794355783,RBF,True,COMPLETE
73,73,0.8542642587982041,2023-01-15 19:38:46.319834,2023-01-15 19:41:17.130153,0 days 00:02:30.810319,3.527831493531775,0.0027933980742841247,RBF,True,COMPLETE
74,74,0.853348599559037,2023-01-15 19:39:04.928558,2023-01-15 19:41:36.266672,0 days 00:02:31.338114,3.0585690253182287,0.020712575763914574,RBF,True,COMPLETE
75,75,0.8500887341312999,2023-01-15 19:39:24.652859,2023-01-15 19:41:55.128519,0 days 00:02:30.475660,2.835364200760044,0.0028406221955030353,RBF,True,COMPLETE
76,76,0.8503710162145122,2023-01-15 19:39:42.513591,2023-01-15 19:42:14.099289,0 days 00:02:31.585698,3.130907444116979,0.024547800358441677,RBF,True,COMPLETE
77,77,0.8549729533083414,2023-01-15 19:40:01.689551,2023-01-15 19:42:32.783093,0 days 00:02:31.093542,0.8628901586207962,0.020368640799143415,RBF,True,COMPLETE
78,78,0.846635242748081,2023-01-15 19:40:20.272938,2023-01-15 19:42:51.981669,0 days 00:02:31.708731,0.5079698386626574,0.020035314548181093,RBF,True,COMPLETE
79,79,0.8556380212888588,2023-01-15 19:40:40.113056,2023-01-15 19:43:11.532212,0 days 00:02:31.419156,0.6304430067988173,0.01818316261263411,RBF,True,COMPLETE
80,80,0.8461819015474079,2023-01-15 19:40:58.496638,2023-01-15 19:43:30.226794,0 days 00:02:31.730156,0.43624418962349043,0.017610097301657465,RBF,True,COMPLETE
81,81,0.12748397435897435,2023-01-15 19:41:17.297377,2023-01-15 19:43:48.956047,0 days 00:02:31.658670,0.707462405265656,0.1706359296367038,RBF,True,COMPLETE
82,82,0.8533646519395454,2023-01-15 19:41:36.427485,2023-01-15 19:44:08.374991,0 days 00:02:31.947506,0.6889392521810245,0.0181764969131456,RBF,True,COMPLETE
83,83,0.12648237179487182,2023-01-15 19:41:55.306558,2023-01-15 19:44:27.206497,0 days 00:02:31.899939,0.6523069325793683,0.19535949499910482,RBF,True,COMPLETE
84,84,0.8530205061931764,2023-01-15 19:42:14.384018,2023-01-15 19:44:45.992719,0 days 00:02:31.608701,0.7230558287257058,0.008238823883724157,RBF,True,COMPLETE
85,85,0.8513195500628281,2023-01-15 19:42:33.323360,2023-01-15 19:45:04.716571,0 days 00:02:31.393211,0.8107120628340916,0.007795250303518446,RBF,True,COMPLETE
86,86,0.12796474358974358,2023-01-15 19:42:52.184352,2023-01-15 19:45:23.815018,0 days 00:02:31.630666,0.8034777875848749,0.21524583006003312,RBF,True,COMPLETE
87,87,0.12796474358974358,2023-01-15 19:43:11.713693,2023-01-15 19:45:43.398813,0 days 00:02:31.685120,0.7171176209434578,0.14998125846291196,RBF,True,COMPLETE
88,88,0.820141750654021,2023-01-15 19:43:30.440913,2023-01-15 19:46:02.055352,0 days 00:02:31.614439,0.6978861343102144,0.0405830410229032,RBF,True,COMPLETE
89,89,0.8539125317400933,2023-01-15 19:43:49.655833,2023-01-15 19:46:20.513240,0 days 00:02:30.857407,0.765179936047559,0.007884677835266413,RBF,True,COMPLETE
90,90,0.8237729653962342,2023-01-15 19:44:08.531472,2023-01-15 19:46:39.902685,0 days 00:02:31.371213,0.9102368255164918,0.04473608672655869,RBF,True,COMPLETE
91,91,0.8512032919872372,2023-01-15 19:44:27.640433,2023-01-15 19:46:59.106462,0 days 00:02:31.466029,1.8841510694646981,0.007756982812360399,RBF,True,COMPLETE
92,92,0.3935125694131701,2023-01-15 19:44:46.230889,2023-01-15 19:47:17.514496,0 days 00:02:31.283607,0.2692301844164461,0.040367692298500096,RBF,True,COMPLETE
93,93,0.8234100122103406,2023-01-15 19:45:04.918063,2023-01-15 19:47:36.289834,0 days 00:02:31.371771,1.2786404713476731,0.049494275613754475,RBF,False,COMPLETE
94,94,0.8503715892039739,2023-01-15 19:45:24.193849,2023-01-15 19:47:55.219336,0 days 00:02:31.025487,1.991296165663096,0.035017326859545644,RBF,False,COMPLETE
95,95,0.8386592573375449,2023-01-15 19:45:43.660186,2023-01-15 19:48:13.958655,0 days 00:02:30.298469,1.7352279986208683,0.044186238505532945,RBF,False,COMPLETE
96,96,0.12748397435897435,2023-01-15 19:46:02.290984,2023-01-15 19:48:32.889365,0 days 00:02:30.598381,1.2487538407643597,0.7624118939211916,RBF,False,COMPLETE
97,97,0.12797619047619047,2023-01-15 19:46:21.106104,2023-01-15 19:48:51.621713,0 days 00:02:30.515609,0.26418600557102484,0.06786159477573198,RBF,False,COMPLETE
98,98,0.827116991395201,2023-01-15 19:46:40.154405,2023-01-15 19:49:10.742027,0 days 00:02:30.587622,0.24705622105798228,0.007687455549012894,RBF,False,COMPLETE
99,99,0.8345248735883649,2023-01-15 19:46:59.293504,2023-01-15 19:49:29.385795,0 days 00:02:30.092291,0.271632768137778,0.009156594743543248,RBF,False,COMPLETE
100,100,0.6937273017106472,2023-01-15 19:47:17.707016,2023-01-15 19:49:48.059443,0 days 00:02:30.352427,1.4937590907949694,0.06678066821134793,RBF,False,COMPLETE
101,101,0.8526385851943632,2023-01-15 19:47:36.517395,2023-01-15 19:50:07.099861,0 days 00:02:30.582466,1.6788170876500186,0.00769230819517687,RBF,True,COMPLETE
102,102,0.8552258429012355,2023-01-15 19:47:55.452267,2023-01-15 19:50:25.873474,0 days 00:02:30.421207,1.462311941695289,0.009502970192687015,RBF,True,COMPLETE
103,103,0.125,2023-01-15 19:48:14.129182,2023-01-15 19:50:45.623363,0 days 00:02:31.494181,0.1955664519977865,0.07652851254923232,RBF,True,COMPLETE
