,number,value,datetime_start,datetime_complete,duration,params_spatial_pyramid,state
82,82,0.838281594402358,2023-01-15 19:07:06.753327,2023-01-15 19:09:37.901288,0 days 00:02:31.147961,vertical 1x2,COMPLETE
83,83,0.841292987239971,2023-01-15 19:07:26.232679,2023-01-15 19:09:56.257188,0 days 00:02:30.024509,vertical 1x2,COMPLETE
84,84,0.8472919792853016,2023-01-15 19:07:45.003173,2023-01-15 19:10:15.213278,0 days 00:02:30.210105,vertical 1x4,COMPLETE
85,85,0.8479925546000026,2023-01-15 19:08:06.607030,2023-01-15 19:10:33.824603,0 days 00:02:27.217573,vertical 1x4,COMPLETE
86,86,0.8460665758885153,2023-01-15 19:08:24.064460,2023-01-15 19:10:52.789651,0 days 00:02:28.725191,vertical 1x3,COMPLETE
87,87,0.8492453122986984,2023-01-15 19:08:42.592594,2023-01-15 19:11:11.609626,0 days 00:02:29.017032,vertical 1x3,COMPLETE
88,88,0.8457077783667186,2023-01-15 19:09:00.943516,2023-01-15 19:11:30.344455,0 days 00:02:29.400939,vertical 1x4,COMPLETE
89,89,0.8458247415701206,2023-01-15 19:09:20.372836,2023-01-15 19:11:49.329399,0 days 00:02:28.956563,vertical 1x4,COMPLETE
90,90,0.8424513576347987,2023-01-15 19:09:38.363739,2023-01-15 19:12:08.512300,0 days 00:02:30.148561,vertical 1x4,COMPLETE
91,91,0.8445745943639199,2023-01-15 19:09:56.420026,2023-01-15 19:12:27.267947,0 days 00:02:30.847921,vertical 1x4,COMPLETE
92,92,0.839385076320722,2023-01-15 19:10:15.495978,2023-01-15 19:12:45.942095,0 days 00:02:30.446117,vertical 1x4,COMPLETE
93,93,0.8413318589770743,2023-01-15 19:10:34.493948,2023-01-15 19:13:05.117294,0 days 00:02:30.623346,vertical 1x3,COMPLETE
94,94,0.8440702646419179,2023-01-15 19:10:53.295330,2023-01-15 19:13:23.928318,0 days 00:02:30.632988,vertical 1x4,COMPLETE
95,95,0.8471190892293088,2023-01-15 19:11:11.842598,2023-01-15 19:13:42.570115,0 days 00:02:30.727517,vertical 1x3,COMPLETE
96,96,0.8467886622329335,2023-01-15 19:11:30.524649,2023-01-15 19:14:00.838564,0 days 00:02:30.313915,vertical 1x3,COMPLETE
97,97,0.8484047124225407,2023-01-15 19:11:49.536880,2023-01-15 19:14:20.059435,0 days 00:02:30.522555,vertical 1x3,COMPLETE
98,98,0.8395509443540494,2023-01-15 19:12:08.690343,2023-01-15 19:14:39.098688,0 days 00:02:30.408345,vertical 1x3,COMPLETE
99,99,0.8429219078171231,2023-01-15 19:12:27.458064,2023-01-15 19:14:52.604561,0 days 00:02:25.146497,vertical 1x3,COMPLETE
